"Year"	"Plot"	"NumSp"	"SpNum"	"FgNum"	"Fgset"	"C3"	"C4"	"Forb"	"Legume"	"Woody"	"Achmi"	"Agrsm"	"AmoPet"	"Andge"	"Asctu"	"Elyca"	"Koecr"	"Lesca"	"Liaas"	"Luppe"	"MonSol"	"Panvi"	"Petpu"	"Poapr"	"Queel"	"Quema"	"Schsc"	"Sornu"	"Depth"	"Phosphorus"
2017	177	8	9	5	34FLW	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0.20cm	46
2017	177	8	9	5	34FLW	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	20.40cm	60
2017	177	8	9	5	34FLW	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	40.60cm	72
1994	177	8	9	5	34FLW	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0.20cm	64
2017	178	8	9	3	34F	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	40.60cm	142
1994	178	8	9	3	34F	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0.20cm	108
2017	178	8	9	3	34F	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0.20cm	60
2017	178	8	9	3	34F	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	20.40cm	99
2017	185	1	1	1	L	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	40.60cm	32
2017	185	1	1	1	L	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20.40cm	34
1994	185	1	1	1	L	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.20cm	57
2017	185	1	1	1	L	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.20cm	36
1994	186	16	17	5	34FLW	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0.20cm	53
2017	186	16	17	5	34FLW	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0.20cm	27
2017	186	16	17	5	34FLW	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	20.40cm	22
2017	186	16	17	5	34FLW	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	40.60cm	23
2017	190	4	4	3	FLW	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	20.40cm	14
